id,Date_earliest,Nationality_Summed_Points,Nationality_count,Summed_Points,artist_count,Points (Total),song_count,Artists,Date,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence
0ug5NqcwcFR2xrfTkc7k8e,2017-06-09,7177.0,1,0.0,1,82,4,Taylor Swift,2023-05-29,0.588,0.791,-5595.0,0.04,0.002,0.003,0.487
4i6cwNY6oIUU2XZxPIw82Y,2023-05-26,203222.199999999,2,210.0,2,1292,8,"Taylor Swift, Ice Spice",2023-05-29,0.615,0.616,-6523.0,0.062,0.062,0.0,0.073
26cvTWJq2E1QqN4jyH2OTU,2023-04-30,180.0,1,0.0,1,2811,30,Anggi Marito,2023-05-29,0.506,0.438,-7069.0,0.027,0.759,0.0,0.178
2eAvDnpXP5W0cVtiI0PUxV,2021-08-03,14425.0,1,0.0,1,11930,166,Ruth B.,2023-05-29,0.609,0.692,-2958.0,0.026,0.016,0.0,0.454
5eTaQYBE1yrActixMAeLcZ,2023-03-10,149434.0,4,506.0,3,20236,162,"Calvin Harris, Ellie Goulding",2023-05-29,0.636,0.869,-5289.0,0.041,0.038,0.045,0.306
2tTmW7RDtMQtBk7m2rYeSw,2022-07-07,3636.0,2,6.0,2,70402,362,"Bizarrap, Quevedo",2023-05-29,0.621,0.782,-5548.0,0.044,0.013,0.033,0.55
6Sq7ltF9Qa7SNFBsV5Cogx,2022-05-06,14794.4,2,16.0,2,70748,362,"Bad Bunny, Chencho Corleone",2023-05-29,0.911,0.712,-5105.0,0.082,0.09,0.0,0.425
4iZ4pt7kvcaH6Yo8UoZ4s2,2022-12-09,179794.5,1,476.0,1,22463,162,SZA,2023-05-29,0.559,0.551,-7231.0,0.132,0.141,0.0,0.392
0qCPD6ilr9nXkI4KVZgcns,2023-05-14,5479.333333332,2,50.0,2,3914,32,"Eden Muñoz, Junior H",2023-05-29,0.703,0.429,-9076.0,0.031,0.783,0.0,0.416
3sqrvkNC6IPTIXvvbx9Arw,2023-03-19,193558.5,1,11726.0,1,5320,72,Taylor Swift,2023-05-29,0.535,0.618,-3913.0,0.027,0.072,0.0,0.228
