id,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,song_count,artists_points,artists_songs_counted
1DadkoAI2gicYJfindPY20,0.405,0.894,-4336.0,0.034,0.001,0.0,0.642,3,0.0,0.0
2wrJq5XKLnmhRXHIAf9xBa,0.654,0.63,-4644.0,0.026,0.153,0.0,0.43,184,0.0,0.0
0WlmiIK5qFQ4dAB4mCA4sI,0.533,0.915,-2337.0,0.047,0.324,0.0,0.967,3,3469.0,67.0
0QglpM23kl9ldvVdoYNZwF,0.886,0.562,-5304.0,0.259,0.259,0.0,0.65,21,0.0,0.0
1O74aTse7W5hd2rAvnEVaW,0.94,0.739,-6297.0,0.044,0.426,0.001,0.962,2,0.0,0.0
22VdIZQfgXJea34mQxlt81,0.705,0.769,-5526.0,0.043,0.113,0.0,0.583,6,57214.0,478.0
3F1P0QzdXtBz0MXy7KIO5w,0.868,0.693,-7052.0,0.181,0.06,0.004,0.396,54,85315.0,654.0
6fmQjRuo7XvRFCK2qex5hQ,0.854,0.525,-4426.0,0.214,0.819,0.0,0.63,174,0.0,0.0
43CIWpJaJHRcI4mUSjqgc2,0.697,0.674,-6326.0,0.053,0.002,0.0,0.198,29,162125.0,1672.0
0BjfodYJYki5xbxHJZe0Cf,0.781,0.843,-3445.0,0.035,0.067,0.0,0.616,1,30707.0,192.0
7bad461siaxECNlaYsmIo6,0.616,0.738,-3941.0,0.031,0.153,0.0,0.3,5,18167.0,153.0
4i2qxFEVVUi8yOYoxB8TCX,0.699,0.805,-5535.0,0.035,0.002,0.002,0.232,76,21027.0,174.0
5ezbc8nalmV7JqLQQfHwTV,0.949,0.487,-8585.0,0.072,0.176,0.0,0.313,1,437.0,32.0
4i9ATUqGrKhfzQ0k8UnSBf,0.619,0.561,-7824.0,0.417,0.103,0.0,0.587,1,0.0,0.0
7iNGwN4yuxATUtv0qYXJ8Q,0.46,0.733,-4579.0,0.13,0.032,0.0,0.079,1,32.0,1.0
3Ofmpyhv5UAQ70mENzB277,0.778,0.695,-6865.0,0.091,0.175,0.0,0.472,28,0.0,0.0
2tI4WyzqOOwC23S5m0kqcB,0.813,0.415,-5926.0,0.035,0.777,0.0,0.667,62,959.0,33.0
2AceGjiX9isUbXmMZa0Dl1,0.575,0.844,-4.89,0.072,0.002,0.0,0.277,6,10608.0,89.0
0psS4i5YooJrXfDnGvWRLi,0.343,0.243,-14.66,0.078,0.721,0.002,0.032,21,80647.0,841.0
1GkHyypTFkUf0QQKwYoXH4,0.668,0.563,-6433.0,0.052,0.049,0.0,0.305,14,0.0,0.0
1XXimziG1uhM0eDNCZCrUl,0.868,0.795,-6044.0,0.269,0.001,0.019,0.819,5,33852.0,184.0
4PhsKqMdgMEUSstTDAmMpg,0.572,0.631,-9836.0,0.048,0.222,0.0,0.071,1,57214.0,478.0
4aarlAfLKVCTxUDNgbwhjH,0.957,0.437,-7882.0,0.359,0.004,0.0,0.616,18,9583.0,152.0
1A8990rtwHQ417l3yADe5t,0.753,0.659,-9671.0,0.416,0.659,0.0,0.459,3,10857.0,229.0
3lCbsHaN1wCxyDzcNN2x4N,0.721,0.612,-6899.0,0.056,0.186,0.0,0.86,64,0.0,0.0
7a53HqqArd4b9NF4XAmlbI,0.637,0.69,-4057.0,0.041,0.008,0.0,0.457,31,30482.0,310.0
4hSJUp6k7QeHLxU32MrLIU,0.807,0.535,-6519.0,0.349,0.191,0.0,0.925,23,0.0,0.0
4ga4WvRNhMsIL38pkBbnIN,0.859,0.558,-8991.0,0.09,0.659,0.324,0.357,2,0.0,0.0
2u8NmvhYX6wiviyxJTOhEi,0.506,0.946,-4173.0,0.065,0.0,0.002,0.651,1,0.0,0.0
0tQmgwFKw9069z1BXniOiA,0.652,0.803,-4116.0,0.238,0.017,0.0,0.661,1,201.0,6.0
0uRrG2jRR5tuifsYIJHEao,0.403,0.537,-6628.0,0.031,0.59,0.0,0.414,8,2454.0,39.0
3cBsEDNhFI9E82vPj3kvi3,0.505,0.657,-5.24,0.032,0.373,0.001,0.252,26,2454.0,39.0
