Date,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,Points (Total),id,Date_earliest,song_count,Points (Total)_grouped,date_difference,total_points,average_point,artist_count
2023-05-29,0.486,0.617,-7115.0,0.029,0.095,0.0,0.417,144,1mea3bSkSGXuIRvnydlB5b,2022-08-23,277,22946,279 days,190048.0,27149.714285714286,1
2023-05-29,0.637,0.678,-3798.0,0.266,0.209,0.0,0.254,143,561jH07mF1jHuk7KlaeF0s,2022-10-15,227,35812,226 days,371151.0,53021.57142857143,1
2023-05-29,0.613,0.581,-8588.0,0.042,0.537,0.0,0.551,142,4R2kfaDFhslZEMJqAFNpdd,2020-07-25,175,17916,1038 days,632092.5,90298.92857142857,1
2023-05-29,0.602,0.91,-3404.0,0.031,0.001,0.0,0.228,141,3BKD1PwArikchz2Zrlp1qi,2023-04-07,51,5127,52 days,271787.50000008,38826.78571429714,3
2023-05-29,0.761,0.525,-6.9,0.094,0.44,0.0,0.531,140,3USxtqRwSYz57Ewm6wWRMp,2023-04-14,46,5779,45 days,149601.0,21371.571428571428,1
2023-05-29,0.612,0.807,-2.81,0.034,0.05,0.018,0.398,139,2QjOHCTQ1Jl3zawyYOpxh6,2020-08-17,1008,142511,1015 days,203453.0,29064.714285714286,1
2023-05-29,0.716,0.531,-7355.0,0.122,0.07,0.0,0.344,138,2HbKqm4o0w5wEeEFXm2sD4,2020-08-13,159,7242,1019 days,316550.5,45221.5,2
2023-05-29,0.588,0.791,-5595.0,0.04,0.002,0.003,0.487,137,0ug5NqcwcFR2xrfTkc7k8e,2017-06-09,80,7223,2180 days,632092.5,90298.92857142857,1
2023-05-29,0.615,0.616,-6523.0,0.062,0.062,0.0,0.073,136,4i6cwNY6oIUU2XZxPIw82Y,2023-05-26,4,646,3 days,644597.5,92085.35714285712,2
2023-05-29,0.506,0.438,-7069.0,0.027,0.759,0.0,0.178,135,26cvTWJq2E1QqN4jyH2OTU,2023-04-30,30,2811,29 days,2811.0,401.57142857142856,1
2023-05-29,0.609,0.692,-2958.0,0.026,0.016,0.0,0.454,134,2eAvDnpXP5W0cVtiI0PUxV,2021-08-03,650,77179,664 days,77179.0,11025.57142857143,1
2023-05-29,0.636,0.869,-5289.0,0.041,0.038,0.045,0.306,133,5eTaQYBE1yrActixMAeLcZ,2023-03-10,81,10118,80 days,350360.0,50051.42857142857,3
2023-05-29,0.621,0.782,-5548.0,0.044,0.013,0.033,0.55,132,2tTmW7RDtMQtBk7m2rYeSw,2022-07-07,327,59889,326 days,159230.5,22747.214285714286,2
2023-05-29,0.911,0.712,-5105.0,0.082,0.09,0.0,0.425,131,6Sq7ltF9Qa7SNFBsV5Cogx,2022-05-06,389,69093,388 days,1343353.166666687,191907.59523809812,2
2023-05-29,0.559,0.551,-7231.0,0.132,0.141,0.0,0.392,130,4iZ4pt7kvcaH6Yo8UoZ4s2,2022-12-09,162,22463,171 days,191285.5,27326.5,1
2023-05-29,0.703,0.429,-9076.0,0.031,0.783,0.0,0.416,129,0qCPD6ilr9nXkI4KVZgcns,2023-05-14,16,1957,15 days,27929.33333334,3989.904761905714,2
2023-05-29,0.535,0.618,-3913.0,0.027,0.072,0.0,0.228,128,3sqrvkNC6IPTIXvvbx9Arw,2023-03-19,72,5320,71 days,632092.5,90298.92857142857,1
2023-05-29,0.772,0.75,-3.67,0.046,0.02,0.0,0.587,127,54ipXppHLA8U4yqpOFTUhr,2022-07-01,333,49531,332 days,575616.5,82230.92857142857,1
2023-05-29,0.642,0.62,-7091.0,0.067,0.073,0.0,0.097,126,7KokYm8cMIXCsGVmUvKtqf,2022-10-21,95,11307,220 days,632092.5,90298.92857142857,1
2023-05-29,0.804,0.771,-4067.0,0.043,0.357,0.0,0.739,125,65FftemJ1DbbZ45DUfHJXE,2023-01-02,148,24309,147 days,62492.0,8927.42857142857,1
2023-05-29,0.881,0.592,-4898.0,0.032,0.619,0.0,0.719,124,5Odq8ohlgIbQKMZivbWkEo,2022-10-07,192,17208,234 days,562104.166666611,80300.59523808729,3
2023-05-29,0.841,0.384,-7684.0,0.035,0.024,0.0,0.597,123,69CrOS7vEHIrhC2ILyEi0s,2023-03-31,60,9848,59 days,10438.0,1491.142857142857,1
2023-05-29,0.591,0.764,-5484.0,0.048,0.038,0.0,0.478,122,567e29TDzLwZwfDuEpGTwo,2023-01-20,130,18219,129 days,711194.666666677,101599.23809523956,2
2023-05-29,0.736,0.8,-5.38,0.053,0.179,0.0,0.961,121,3kf0WdFOalKWBkCCLJo4mA,2023-02-12,107,15132,106 days,16323.5,2331.928571428572,1
2023-05-29,0.852,0.675,-5738.0,0.036,0.397,0.003,0.528,120,5RcxRGvmYai7kpFSfxe5GY,2023-04-07,53,6932,52 days,152175.49999999302,21739.357142856144,2
2023-05-29,0.593,0.352,-8296.0,0.028,0.695,0.0,0.226,119,50x1Ic8CaXkYNvjmxe3WXy,2023-01-06,144,13511,143 days,14095.0,2013.571428571429,1
2023-05-29,0.538,0.742,-5355.0,0.114,0.138,0.0,0.25,118,5mHdCZtVyb4DcJw8799hZp,2023-02-03,116,18942,115 days,74028.0,10575.42857142857,2
2023-05-29,0.92,0.696,-3356.0,0.074,0.183,0.0,0.545,117,505v13epFXodT9fVAJ6h8k,2023-05-19,11,1005,10 days,300632.0,42947.42857142857,1
2023-05-29,0.782,0.812,-6613.0,0.047,0.567,0.0,0.7,116,6n2P81rPk2RTzwnNNgFOdb,2023-05-26,4,368,3 days,62994.999999993,8999.285714284715,1
2023-05-29,0.699,0.541,-4943.0,0.083,0.063,0.0,0.365,115,6TBzRwnX2oYd8aOrOuyK1p,2023-01-13,130,17836,136 days,30024.33333334,4289.190476191428,2
2023-05-29,0.795,0.781,-4647.0,0.141,0.285,0.0,0.687,114,7mpdNiaQvygj2rHoxkzMfa,2023-05-22,8,1059,7 days,2913.0,416.1428571428572,1
2023-05-29,0.603,0.67,-3882.0,0.025,0.004,0.0,0.446,113,7j4OmvkjRz0PrjFADlHfQx,2021-10-11,167,11847,595 days,180642.0,25806.0,1
2023-05-29,0.887,0.234,-14.52,0.178,0.111,0.67,0.197,112,2mnXxnrX5vCGolNkaFvVeM,2022-12-02,179,29660,178 days,1279441.095238116,182777.29931973087,2
2023-05-29,0.498,0.897,-4907.0,0.045,0.001,0.0,0.373,111,5w40ZYhbBMAlHYNDaVJIUu,2023-04-14,39,5720,45 days,1067605.5,152515.07142857142,1
