id,song_count,Summed_Points,artist_count,Points (Total),Artists,Date,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,Nationality_Summed_Points,Nationality_count,Date_earliest
7ovUcF5uHTBRzUpB6ZOmvt,,0.0,1,3983,YOASOBI,2023-05-29,0.574,0.935,-2783.0,0.093,0.112,0.0,0.836,240.0,1,2023-04-16
0JXXNGljqupsJaZsgSbMZV,167.0,0.0,1,24307,Miguel,2023-05-29,0.684,0.607,-8127.0,0.1,0.027,0.0,0.498,10977.0,1,2022-12-12
58ge6dfP91o9oXMzq3XkIS,2.0,0.0,1,3,Arctic Monkeys,2023-05-29,0.52,0.852,-5866.0,0.054,0.002,0.0,0.234,2620.0,1,2021-02-01
6UN73IYd0hZxLi8wFPMQij,,0.0,1,18721,Coi Leray,2023-05-29,0.954,0.516,-5817.0,0.16,0.03,0.0,0.624,18688.0,1,2023-01-18
6l8mgVN9Xf1hiDIFGA6CTE,,0.0,2,2418,"Beyoncé, Kendrick Lamar",2023-05-29,0.784,0.7,-5289.0,0.04,0.011,0.0,0.204,38904.399999998,2,2023-05-20
7qEHsqek33rTcFNT9PFqLf,,208.0,1,34440,Lewis Capaldi,2023-05-29,0.501,0.405,-5679.0,0.032,0.751,0.0,0.446,2938.0,1,2019-05-17
6dgUya35uo964z7GZXM07g,,0.0,1,14625,Sabrina Carpenter,2023-05-29,0.74,0.697,-4912.0,0.034,0.027,0.0,0.732,19101.0,1,2023-01-12
0u2P5u6lvoDfwTYjAADbn4,,372.0,2,23804,"Billie Eilish, Khalid",2023-05-29,0.351,0.296,-10109.0,0.033,0.934,0.0,0.12,38742.0,2,2018-04-20
3k3NWokhRRkEPhCzPmV8TW,185.0,0.0,2,68586,"Bad Bunny, Bomba Estéreo",2023-05-29,0.647,0.686,-5745.0,0.041,0.08,0.0,0.268,1441.6,2,2022-05-06
7aRCf5cLOFN1U7kvtChY1G,,248.5,1,7723,Drake,2023-05-29,0.817,0.44,-8482.0,0.073,0.06,0.0,0.544,2569.5,1,2023-04-07
0IKeDy5bT9G0bA7ZixRT4A,,580.0,2,44484,"Fuerza Regida, Grupo Frontera",2023-05-29,0.529,0.602,-4629.0,0.046,0.299,0.0,0.756,1054.0,2,2022-12-30
7MVIfkyzuUmQ716j8U7yGR,,0.0,2,25330,"Taiu, Milo j",2023-05-29,0.838,0.708,-4668.0,0.166,0.176,0.0,0.96,1194.499999999,2,2023-02-24
1R0a2iXumgCiFb7HEZ7gUE,5.0,1111.0,1,153,Taylor Swift,2023-05-29,0.615,0.534,-6719.0,0.039,0.106,0.0,0.193,14754.0,1,2017-12-02
7lQ8MOhq6IN2w8EYcFNSUk,1.0,45.0,1,13,Eminem,2023-05-29,0.908,0.669,-2827.0,0.074,0.003,0.0,0.662,15277.0,1,2017-11-11
7yq4Qj7cqayVTp3FF9CWbm,2.0,0.0,1,4,Vance Joy,2023-05-29,0.484,0.731,-6694.0,0.038,0.431,0.0,0.51,453.0,1,2018-07-15
4k6Uh1HXdhtusDW5y8Gbvy,185.0,168.0,1,32466,Steve Lacy,2023-05-29,0.686,0.494,-7093.0,0.036,0.613,0.0,0.7,10490.0,1,2022-07-15
5QW9K4A1gMnIi94YUxtsfM,,0.0,3,525,"Sachin-Jigar, Arijit Singh, Amitabha Bhattacharya",2023-05-29,0.556,0.552,-5875.0,0.037,0.531,0.0,0.531,171.0,3,2023-05-27
0CYTGMBYkwUxrj1MWDLrC5,160.0,345.666666667,1,19354,Feid,2023-05-29,0.743,0.831,-4042.0,0.058,0.114,0.0,0.609,524.6666666670001,1,2022-12-17
1Lo0QY9cvc8sUB2vnIOxDT,,14.0,1,2667,Luke Combs,2023-05-29,0.712,0.603,-5.52,0.026,0.186,0.0,0.67,20983.0,1,2023-03-31
76OGwb5RA9h4FxQPT33ekc,185.0,349.0,1,30200,Rosa Linn,2023-05-29,0.565,0.636,-8198.0,0.064,0.107,0.0,0.525,1437.0,1,2022-08-08
0pqnGHJpmpxLKifKRmU6WP,185.0,1250.0,1,20966,Imagine Dragons,2023-05-29,0.776,0.78,-4374.0,0.128,0.062,0.0,0.666,19403.0,1,2018-07-26
2a1o6ZejUi8U3wzzOtCOYw,,0.0,2,52,"Don Omar, Lucenzo",2023-05-29,0.4,0.915,-4.89,0.28,0.085,0.0,0.878,339.0,2,2017-12-31
6UelLqGlWMcVH1E5c4H7lY,184.0,691.0,1,23971,Harry Styles,2023-05-29,0.548,0.816,-4209.0,0.047,0.122,0.0,0.557,3346.0,1,2019-12-13
4RvWPyQ5RL0ao9LPZeSouE,,0.0,1,9384,Tears For Fears,2023-05-29,0.645,0.795,-12095.0,0.053,0.347,0.004,0.535,3299.0,1,2022-05-31
37F0uwRSrdzkBiuj0D5UHI,,0.0,1,2565,The Weeknd,2023-05-29,0.706,0.505,-6923.0,0.193,0.142,0.0,0.388,0.0,1,2017-01-01
0ll8uFnc0nANY35E0Lfxvg,27.0,0.0,1,875,Keane,2023-05-29,0.453,0.655,-4.22,0.026,0.079,0.0,0.368,3110.0,1,2022-11-01
2WfaOiMkCvy7F5fcp2zZ8L,,0.0,1,74,a-ha,2023-05-29,0.573,0.902,-7638.0,0.054,0.018,0.001,0.876,76.0,1,2018-08-18
