id,nationality_points,nationality_songs_counted,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,song_count,artists_points,artists_songs_counted
1wsf1YFQSYND45y0GzJmf7,1582829.0,18155.0,0.964,0.346,-9309.0,0.53,0.035,0.0,0.562,3,40755.0,292.0
0b93tWwuoAC0nXe1CfR30I,350318.0,3608.0,0.581,0.767,-5026.0,0.053,0.243,0.001,0.673,6,0.0,0.0
1t67WYNfUxfOiwaz7SJ66b,350318.0,3608.0,0.714,0.585,-4.57,0.042,0.057,0.004,0.842,5,0.0,0.0
2URDbWGmPz3vhagl25p8OC,350318.0,3608.0,0.584,0.835,-4326.0,0.03,0.041,0.015,0.781,5,0.0,0.0
2HbYLDA1SigY1ilC94ieVu,350318.0,3608.0,0.372,0.865,-4288.0,0.051,0.002,0.003,0.594,4,0.0,0.0
5rqQTEIVK2PTuXU9GI2wT0,350318.0,3608.0,0.602,0.601,-5742.0,0.03,0.346,0.349,0.553,3,0.0,0.0
07qlsG6DYRLBbovwca9Vbr,35213.0,1227.0,0.451,0.279,-9953.0,0.03,0.783,0.0,0.424,2,0.0,0.0
68uKHxQzoY6gd7YSKJf21J,49834.0,1294.0,0.673,0.76,-6847.0,0.186,0.111,0.002,0.934,9,0.0,0.0
6hkfgHhYXyDVYahUOZhGRd,350318.0,3608.0,0.542,0.766,-5411.0,0.028,0.03,0.08,0.643,2,0.0,0.0
60T4FDF1tTcFlXkI08FFhL,350318.0,3608.0,0.514,0.773,-3754.0,0.039,0.009,0.003,0.445,2,0.0,0.0
2ZrHbO88rM6Ijeg0aJmSzl,1569679.0,17987.0,0.675,0.604,-6266.0,0.193,0.752,0.0,0.456,1,24584.0,238.0
7EulRO07ZgchxqKUHb8Pvc,1490092.0,17057.0,0.679,0.648,-5892.0,0.445,0.145,0.0,0.635,21,0.0,0.0
0dIoGTQXDh1wVnhIiSyYEa,1436760.0,16363.0,0.908,0.524,-7955.0,0.181,0.001,0.001,0.109,35,50420.0,669.0
0R6Jlsq25eZB3Wftpxi3oF,1515166.0,17375.0,0.38,0.454,-10271.0,0.036,0.755,0.623,0.288,14,88834.0,675.0
4QfNOZN7vrQCQKK1ZJ3XPb,1147923.0,12966.0,0.544,0.379,-9113.0,0.041,0.863,0.0,0.322,81,8821.0,113.0
2poOAWEj1CStqTVPgIHZ8s,62013.0,473.0,0.508,0.665,-5748.0,0.069,0.629,0.001,0.124,31,10692.0,56.0
0Px86mRlxdB3YqpK6KXWlr,1490092.0,17057.0,0.623,0.473,-8336.0,0.461,0.626,0.0,0.138,8,0.0,0.0
7g7aSJiEcQP8s3PTzqM4Fj,42580.0,1349.0,0.484,0.782,-5674.0,0.298,0.092,0.002,0.307,1,0.0,0.0
6sTDhYVVXU3HSDuG7mBLRU,1465258.0,16739.0,0.849,0.699,-5193.0,0.057,0.185,0.001,0.078,14,3525.0,88.0
2AfWCBwGGCsZtvVnGF3QYE,1490092.0,17057.0,0.512,0.28,-16708.0,0.044,0.811,0.0,0.545,7,0.0,0.0
2VgJDTfkuwlm7WIHnvtRCQ,336145.0,3417.0,0.329,0.234,-7725.0,0.03,0.913,0.0,0.199,28,0.0,0.0
3c3XJ9P1BjOtmNXKvdVyHK,47388.0,551.0,0.631,0.836,-3386.0,0.034,0.048,0.139,0.321,4,29852.0,279.0
13wNEvWmBsWaWVtiLPRIW5,62013.0,473.0,0.484,0.716,-7193.0,0.167,0.3,0.002,0.365,24,10692.0,56.0
7HC3sppue0re7HPfo5zscF,47388.0,551.0,0.586,0.727,-4799.0,0.039,0.002,0.011,0.496,4,29852.0,279.0
2BVVmJQZv4fOPWavI9mkIj,47388.0,551.0,0.634,0.674,-7145.0,0.047,0.049,0.001,0.298,3,29852.0,279.0
1nO67wic65N413c11zKxM7,47388.0,551.0,0.605,0.8,-6235.0,0.055,0.155,0.056,0.836,3,29852.0,279.0
12ip0ceCeszDTDFxDY1AXJ,36.0,1.0,0.826,0.466,-7521.0,0.043,0.035,0.009,0.548,6,0.0,0.0
3qC3qmZNDXu62hc8YbhWsy,47388.0,551.0,0.686,0.581,-5911.0,0.112,0.0,0.1,0.253,1,29852.0,279.0
00B7TZ0Xawar6NZ00JFomN,1436760.0,16363.0,0.62,0.625,-7438.0,0.553,0.287,0.0,0.665,14,50420.0,669.0
5FOCkGt7bp22nBVfQ4WSIT,41783.0,1043.0,0.874,0.602,-5118.0,0.127,0.16,0.001,0.587,15,16489.0,302.0
6wos8Ds5FKMe33GjBHRake,146004.0,2115.0,0.684,0.378,-9.14,0.038,0.845,0.0,0.771,3,21677.0,507.0
26Fqtv4Aa7kyd1WWGHai6A,62013.0,473.0,0.391,0.595,-7094.0,0.041,0.913,0.006,0.379,21,10692.0,56.0
43ay9lQZ5rfNcOOHhRF2cM,1655.0,28.0,0.417,0.824,-7.36,0.105,0.0,0.055,0.4,102,26.0,4.0
