author,points_sum,points in 2017,points in 2018,points in 2019,points in 2020,points in 2021,points in 2022,points in 2023
Juice WRLD,0.011120318655381312,0.0,0.012776110087441074,0.014326208200586797,0.03238197224751471,0.010270647397352534,0.0013838159392546077,8.529349491600809e-05
Travis Scott,0.0107848903767685,0.011423576200924188,0.015074840468819546,0.011334891679507249,0.021713693498666788,0.008437261202329046,0.0007520523656612824,0.0011498455072839258
Olivia Rodrigo,0.01021704041058608,0.0,0.0,0.0,0.00016223092914336774,0.04178549394900881,0.02275684907242898,4.3482958192474714e-05
Doja Cat,0.009410408537743392,0.0,0.0,0.0006151223129252627,0.012140982614410477,0.026676418198874792,0.01984596376896182,0.0012636816619320727
Khalid,0.009003707665175718,0.013913033668416097,0.01885903838919222,0.018812229726463264,0.0019633336378840037,0.0003194452065152338,0.0030482007626237394,0.0025777032100792797
Ozuna,0.008861360240881166,0.015427619866792357,0.01543892298021006,0.012888153822793843,0.008219066872132025,0.0010846683698391162,0.0016663416530082182,0.005700281334739646
BTS,0.00804395378255812,0.0014942247888604379,0.002329637909458371,0.004846079837892052,0.009585336387528554,0.019125984353830547,0.012985026654493366,0.0021181217904098527
Eminem,0.007864303196538757,0.004052058070739939,0.012387383247493462,0.0002468932373994911,0.008144128401096762,0.0019522692386444202,0.016366990578202647,0.017744224543320673
Lewis Capaldi,0.007654617261614838,0.0,0.0,0.010840015769573575,0.01854700006502813,0.012050993465224253,0.005322576618314973,0.005200227315526188
Lil Nas X,0.007648186412660775,0.0,0.0,0.014816998728765378,0.0022554850684417672,0.01715596072443251,0.013820952787098939,0.0016473351469072151
Shawn Mendes,0.007024213957968013,0.012270225620926686,0.008512368934040204,0.009066823908471107,0.007202238705367319,0.005705114736634971,0.002366009464307761,6.68968587576534e-07
Camila Cabello,0.0066547208968116564,0.00660328765223593,0.013572897991950154,0.00870608469949634,0.00674636300656947,0.004032142584709148,0.0030476609475508882,1.5051793220472015e-05
