author,points_sum,points in 2017,points in 2018,points in 2019,points in 2020,points in 2021,points in 2022,points in 2023
Rudimental,42945.0,682.0,40984.0,1279.0,0.0,0.0,0.0,0.0
Loud Luxury,42714.0,0.0,24924.0,17790.0,0.0,0.0,0.0,0.0
LISA,42330.0,0.0,0.0,0.0,0.0,28877.0,13259.0,194.0
Zara Larsson,42147.0,18983.0,10967.0,9424.0,2708.0,40.0,25.0,0.0
A7S,41801.333333329996,0.0,0.0,0.0,22775.0,19026.33333333,0.0,0.0
Topic,41801.333333329996,0.0,0.0,0.0,22775.0,19026.33333333,0.0,0.0
Dan + Shay,41340.0,0.0,470.0,15479.0,25317.0,74.0,0.0,0.0
Romeo Santos,41112.0,5024.0,11985.0,15298.0,584.0,743.0,293.0,7185.0
bbno$,40682.5,0.0,0.0,16651.0,9228.0,14741.5,62.0,0.0
Surfaces,40627.0,0.0,0.0,0.0,40454.0,173.0,0.0,0.0
Duncan Laurence,40573.0,0.0,0.0,2854.0,0.0,36497.0,1222.0,0.0
Pedro Capó,40328.0,0.0,3573.0,34578.0,2177.0,0.0,0.0,0.0
Sheck Wes,40323.0,0.0,22161.0,17729.0,417.0,0.0,16.0,0.0
Surf Mesa,40229.0,0.0,0.0,0.0,38545.0,1684.0,0.0,0.0
Darell,39937.0,0.0,14675.0,24073.0,240.0,949.0,0.0,0.0
Cris Mj,39893.0,0.0,0.0,0.0,0.0,0.0,38066.0,1827.0
Alec Benjamin,39694.0,0.0,737.0,36303.0,2581.0,73.0,0.0,0.0
Rich The Kid,39479.5,763.0,30380.0,7266.0,8.0,0.0,0.0,1062.5
Central Cee,38382.0,0.0,0.0,0.0,0.0,986.0,25156.0,12240.0
Rae Sremmurd,38197.0,31429.0,6768.0,0.0,0.0,0.0,0.0,0.0
Lorde,38183.0,33184.0,0.0,0.0,0.0,4999.0,0.0,0.0
Goodboys,38121.0,0.0,0.0,23429.0,14676.0,16.0,0.0,0.0
Lil Wayne,38011.0,9312.0,25390.0,0.0,1465.0,785.0,1040.0,19.0
Rema,37640.0,0.0,0.0,0.0,0.0,0.0,19158.0,18482.0
Surf Curse,37513.0,0.0,0.0,0.0,0.0,26767.0,10746.0,0.0
Brenda Lee,37264.0,4293.0,5827.0,5319.0,7332.0,6579.0,7914.0,0.0
Vance Joy,37203.0,51.0,4.0,0.0,1428.0,11448.0,13675.0,10597.0
beabadoobee,37154.0,0.0,0.0,0.0,27032.0,9635.0,0.0,487.0
Morgan Wallen,36710.0,0.0,0.0,0.0,2454.0,4106.5,2307.0,27842.5
Oliver Tree,36673.0,0.0,0.0,0.0,0.0,18743.0,11401.0,6529.0
Powfu,36667.0,0.0,0.0,0.0,27032.0,9635.0,0.0,0.0
Jaymes Young,36265.0,0.0,0.0,0.0,0.0,6333.0,29932.0,0.0
Martin Jensen,36123.0,36098.0,0.0,25.0,0.0,0.0,0.0,0.0
Famous Dex,35752.0,5382.0,30370.0,0.0,0.0,0.0,0.0,0.0
Calum Scott,35665.5,2778.0,1018.0,0.0,0.0,8964.5,22609.0,296.0
Mark Ronson,35533.0,127.0,10632.0,24701.0,21.0,20.0,0.0,32.0
Dennis Lloyd,35522.0,0.0,34806.0,716.0,0.0,0.0,0.0,0.0
WILLOW,35383.000000007,0.0,0.0,0.0,61.0,13313.000000007,22009.0,0.0
Nio Garcia,34748.33333334,0.0,7122.0,880.0,6477.0,19326.33333334,943.0,0.0
Maggie Lindemann,34662.0,33396.0,1266.0,0.0,0.0,0.0,0.0,0.0
CJ,34502.0,0.0,0.0,0.0,9456.0,25046.0,0.0,0.0
HVME,34285.0,0.0,0.0,0.0,2983.0,31302.0,0.0,0.0
