author,points_sum,points in 2017,points in 2018,points in 2019,points in 2020,points in 2021,points in 2022,points in 2023
Turkey,0.00034955425105496113,0.0013765963757791679,0.0,0.00021843174450567222,1.4797632867470364e-05,3.0244916913465795e-05,0.0005740933299774821,9.967631954890357e-05
Unknown,0.00025067950694945926,0.0,0.0008818857241123243,0.0001205187617752618,0.0,0.0,0.0,0.0014946988141729394
Ghana,0.00024103853075845385,0.0,0.0,0.0,0.0,0.0010981402944837718,0.0004278034452347481,0.0
South Africa,0.00016863232751536085,0.0002030637867929294,0.0,0.0,0.0008681730475914952,1.338270659887867e-06,1.0458917036496206e-05,0.0
Albania,0.00015461583136012919,0.00070398197630042,0.0002581527455483969,3.431720674278641e-05,0.0,4.282466111641175e-06,0.0,0.0
Pakistan,0.00013323617206968512,0.0,0.0,0.0,0.0,0.0,0.0003514196124262725,0.0012322401383159758
Kazakhstan,0.00013269585362379185,0.0,0.0,0.0,6.7879049850781486e-06,1.318196599989549e-05,0.000825107338853391,0.0
Austria,0.0001174927757832493,9.066330318193799e-05,0.00019347840264993249,6.0055111799876215e-05,0.0,0.00014881569737819255,0.0002399477998824549,4.482089536762778e-05
Solomon Islands,9.401540958543144e-05,0.0,0.0,0.0,0.0,0.0005937906917922466,0.0,0.0
Finland,6.668165291083001e-05,4.402466922339933e-06,0.0,0.0,2.3621909348071957e-05,7.333723216185511e-05,0.0,0.0008004209150353229
Ukraine,5.6118957017582864e-05,5.214171761146359e-05,2.9682119477611037e-05,2.3967572963215904e-05,3.312497632718136e-05,0.00014339570120698494,7.557411019919839e-05,0.0
Swiss,5.1277279963205786e-05,0.0,0.0,1.566063006119221e-05,0.0001914189205792038,4.081725512657994e-05,0.0,0.00019734573333507753
Romania,4.472989173649893e-05,0.0,4.084695340955647e-06,0.0,0.0,0.0002784941243226651,0.0,0.0
Cameroon,3.322428718277136e-05,0.0,0.0,0.0,0.00021286870033205074,0.0,0.0,0.0
Portugal,2.4706325800538454e-05,2.2425065885669035e-05,0.0,0.0,0.0,9.193919433483177e-05,4.264539075526195e-05,0.0
Ivory Coast,1.8201315491071806e-05,0.0,0.0,0.0,0.0,0.0,0.00011592528689484183,0.0
Iceland,1.2776942073476484e-05,4.251132121884498e-05,0.0,0.0,0.0,3.934515740070329e-05,0.0,0.0
China,9.535031398116779e-06,0.0,0.0,0.0,6.109114486570334e-05,0.0,0.0,0.0
Greece,9.06887430754218e-06,0.0,3.4447597375392626e-05,0.0,0.0,2.3419736548037673e-05,0.0,0.0
Ecuador,6.8652226066440804e-06,2.5314184803454615e-05,0.0,0.0,0.0,1.8735789238430136e-05,0.0,0.0
Haiti,5.286645186289192e-06,0.0,0.0,0.0,0.0,1.5390112588710472e-06,7.287503483494131e-06,6.154511005704113e-05
Czech Republic,3.6021229726218942e-06,0.0,2.3146606932082e-05,0.0,0.0,0.0,0.0,0.0
Moldavia,3.17834379937226e-06,2.0636563698468437e-05,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,1.7798725276484654e-06,0.0,1.1437146954675812e-05,0.0,0.0,0.0,0.0,0.0
Malta,1.6103608583486116e-06,0.0,0.0,0.0,0.0,1.0170857015147789e-05,0.0,0.0
ALGERIA,1.4832271063737212e-06,0.0,0.0,0.0,0.0,0.0,9.446763774899799e-06,0.0
Republic of Congo,1.3560933543988308e-06,0.0,0.0,0.0,8.68851838090003e-06,0.0,0.0,0.0
Senegal,1.3137154370738674e-06,0.0,0.0,0.0,8.417002181496904e-06,0.0,0.0,0.0
Poland,1.186581685098977e-06,0.0,0.0,0.0,0.0,5.6207367715290414e-06,1.88935275497996e-06,0.0
Azerbaijan,9.535031398116779e-07,0.0,0.0,0.0,0.0,6.022217969495402e-06,0.0,0.0
Sri Lanka,6.356687598744519e-07,0.0,0.0,0.0,0.0,0.0,4.0486130463856285e-06,0.0
Lebanon,1.9070062796233558e-07,0.0,0.0,0.0,1.2218228973140667e-06,0.0,0.0,0.0
Bonaire,1.6951166929985385e-07,0.0,0.0,0.0,1.0860647976125037e-06,0.0,0.0,0.0
Suecia,4.237791732496346e-08,2.751541826462458e-07,0.0,0.0,0.0,0.0,0.0,0.0
