author,points_sum,points in 01/2017,points in 02/2017,points in 03/2017,points in 04/2017,points in 05/2017,points in 06/2017,points in 07/2017,points in 08/2017,points in 09/2017,points in 10/2017,points in 11/2017,points in 12/2017,points in 01/2018,points in 02/2018,points in 03/2018,points in 04/2018,points in 05/2018,points in 06/2018,points in 07/2018,points in 08/2018,points in 09/2018,points in 10/2018,points in 11/2018,points in 12/2018,points in 01/2019,points in 02/2019,points in 03/2019,points in 04/2019,points in 05/2019,points in 06/2019,points in 07/2019,points in 08/2019,points in 09/2019,points in 10/2019,points in 11/2019,points in 12/2019,points in 01/2020,points in 02/2020,points in 03/2020,points in 04/2020,points in 05/2020,points in 06/2020,points in 07/2020,points in 08/2020,points in 09/2020,points in 10/2020,points in 11/2020,points in 12/2020,points in 01/2021,points in 02/2021,points in 03/2021,points in 04/2021,points in 05/2021,points in 06/2021,points in 07/2021,points in 08/2021,points in 09/2021,points in 10/2021,points in 11/2021,points in 12/2021,points in 01/2022,points in 02/2022,points in 03/2022,points in 04/2022,points in 05/2022,points in 06/2022,points in 07/2022,points in 08/2022,points in 09/2022,points in 10/2022,points in 11/2022,points in 12/2022,points in 01/2023,points in 02/2023,points in 03/2023,points in 04/2023,points in 05/2023
Sweden,441119.83333333,20471.0,11085.0,4093.0,1891.0,1511.0,6719.0,7996.0,14113.0,15516.0,15761.0,13844.0,10339.0,11318.0,7081.0,4302.0,18763.0,15845.0,7072.0,4593.0,1799.0,3871.0,5894.0,8125.0,6021.0,7777.0,5873.0,1520.0,3195.0,5347.0,12579.0,8272.0,4827.0,1784.0,241.0,0.0,217.0,540.0,745.0,585.0,3608.0,3239.0,5125.0,6221.0,6407.0,3280.0,2654.0,2179.0,1857.0,2233.0,2878.0,3206.0,4518.0,7153.0,9167.0,9980.0,8476.0,5029.0,8247.0,15862.0,8808.33333333,7935.0,8869.0,6849.0,5620.0,1849.0,800.0,407.0,2806.0,4871.0,4019.0,1281.5,431.0,256.0,0.0,47.0,28.0,3399.0
Mexico,435674.99999999907,43.0,2.0,2.0,1.0,0.0,0.0,29.0,258.0,320.0,1168.0,1244.0,727.0,1270.0,2533.0,9722.0,9968.0,10095.0,9229.0,9734.0,9801.0,8517.0,4797.0,2219.0,1142.0,1020.0,1972.0,4887.0,3039.0,1379.0,213.0,0.0,24.0,572.0,1311.0,1691.0,1182.0,1520.0,768.0,1342.0,0.0,590.0,0.0,12.0,100.0,379.0,126.0,769.0,0.0,0.0,45.0,19.0,1578.0,6210.0,4624.0,4850.0,7969.0,7686.0,8544.0,3618.0,2163.6666666829997,3712.0,4748.0,9395.0,7245.0,2686.0,1462.0,1992.0,3764.0,3420.0,6318.0,5364.0,6286.0,22535.0,27557.0,49431.0,63373.0,63363.333333316
Germany,432665.91666665,6768.0,4211.0,3685.0,3058.0,3428.0,7574.0,10137.0,8850.0,5811.0,9869.0,8934.0,4973.0,3304.0,2081.0,1659.0,662.0,1137.0,729.0,697.0,3918.0,2499.0,7486.0,6620.0,7712.0,9354.0,10241.0,16524.0,10027.0,8394.0,12587.0,10559.0,8209.0,14013.0,15987.0,7993.0,5816.0,3240.0,3083.0,2484.0,7298.0,10410.0,8251.0,8413.0,6206.0,4240.0,4230.0,3226.0,4147.0,8993.0,7894.0,8084.0,5753.0,6933.0,6836.0,7496.0,7357.0,910.0,1665.0,3019.0,345.66666666000003,760.0,1258.0,2717.0,4461.0,2993.0,81.0,1114.0,256.0,2248.0,7092.0,5810.75,6070.0,6864.0,5127.0,4244.0,3160.0,2390.49999999
Argentina,384297.33333329303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,768.0,1502.0,2005.0,1652.0,1364.0,3700.0,3761.0,3105.0,6839.0,7753.0,7591.0,5693.0,6606.0,9539.0,11422.0,10168.0,7760.0,8458.0,6095.0,2638.0,172.0,6.0,0.0,54.0,682.0,0.0,0.0,0.0,894.0,4964.0,7081.0,3913.0,384.0,2322.0,3949.0,1737.0,5770.0,3468.0,6675.0,9057.0,19095.0,17506.0,11917.0,10977.0,10465.0,10226.333333333001,18655.0,9864.0,7500.0,13633.0,7536.0,2361.0,7708.0,8704.0,4478.0,3005.0,5425.0,3640.0,6451.0,7940.0,13650.0,13771.0,10241.99999996
Netherlands,354938.0,8030.0,7193.0,4893.0,4255.0,4009.0,5732.0,5478.0,4788.0,3483.0,3351.0,2743.0,3401.0,3407.0,2474.0,4780.0,3792.0,3567.0,6246.0,7889.0,12816.0,15495.0,8174.0,1572.0,354.0,377.0,813.0,2489.0,595.0,6809.0,9164.0,12887.0,11140.0,7135.0,4514.0,5809.0,638.0,802.0,186.0,107.0,874.0,876.0,23.0,62.0,196.0,0.0,48.0,2678.0,3917.0,5470.0,8712.0,17643.0,15596.0,11274.0,9346.0,8686.0,9195.0,8013.0,8138.0,5686.0,5222.0,7862.0,6014.0,4379.0,3028.0,2545.0,3222.0,3393.0,2322.0,1067.0,251.0,365.0,287.0,2073.0,2003.0,1992.0,1049.0,44.0
Cuba,333940.0,1562.0,1608.0,1348.0,1310.0,2488.0,4990.0,5151.0,9475.0,8643.0,5638.0,5354.0,10635.0,21636.0,15429.0,13932.0,9663.0,9406.0,7196.0,5366.0,4505.0,3576.0,3965.0,3165.0,2361.0,2919.0,1794.0,1810.0,1085.0,681.0,2007.0,4395.0,4397.0,10879.0,12805.0,10156.0,11003.0,10287.0,7730.0,7259.0,6336.0,4266.0,2517.0,2253.0,2175.0,1982.0,2023.0,1610.0,1256.0,1721.0,1576.0,1594.0,1581.0,1241.0,1187.0,2745.0,5895.0,4999.0,5226.0,2204.0,168.5,152.0,122.0,2855.0,3907.0,2909.0,2730.0,2756.0,2598.0,2179.0,1699.0,533.0,143.0,1326.0,1888.0,2301.0,2074.0,1603.5
Italy,287743.41666667396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,1582.0,6.0,0.0,19.0,681.0,0.0,2081.0,2953.0,3167.0,2954.0,4238.0,2604.0,2678.0,4244.0,2128.0,2325.0,5352.0,5324.0,5876.0,3764.0,2890.0,3382.0,6814.0,2986.0,3119.0,2813.0,2070.0,2115.0,1718.0,1723.0,912.0,2045.0,4860.0,5029.0,8610.0,5500.0,7287.0,4985.0,6305.0,4502.0,9269.0,21486.0,18926.0,14523.0,10813.0,12771.0,9422.0,7517.999999979999,8621.0,9687.0,4716.0,3631.0,4645.0,3956.0,2649.0,498.0,98.0,2983.0,653.75,43.0,441.0,5301.0,1544.0,1294.0,584.6666666939999
Norway,265302.5,16459.0,11677.0,12918.0,10361.0,13553.0,12290.0,8686.0,7135.0,5296.0,7004.0,8309.0,6009.0,6518.0,6492.0,6669.0,5098.0,3867.0,3372.0,4132.0,6134.0,4380.0,3323.0,3369.0,1773.0,1493.0,1638.0,920.0,2419.0,4546.0,3722.0,3855.0,2902.0,2385.0,2410.0,2300.0,2947.0,3834.0,2980.0,1303.0,3437.0,2970.0,3450.0,2827.0,2391.0,682.0,165.0,0.0,33.0,9.0,254.0,617.0,5114.0,5328.0,3593.0,2072.0,2269.0,3645.0,4412.0,1249.0,83.5,51.0,48.0,0.0,0.0,0.0,0.0,37.0,0.0,123.0,2424.0,181.0,76.0,40.0,0.0,0.0,71.0,3173.0
Panama,179329.42857142698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599.0,1231.0,4256.0,4687.0,4944.0,7002.0,5213.0,5301.0,3635.0,2602.0,3977.0,5414.0,4678.0,4046.0,4828.0,6438.0,5791.0,5348.0,5111.0,3002.0,2738.0,5145.0,6720.0,6754.0,10185.0,9651.0,10661.0,10026.0,7554.0,4959.0,4709.0,3697.0,1452.0,993.095238096,1393.0,1315.0,1100.0,703.0,1217.0,66.0,0.0,0.0,0.0,117.0,62.333333331000006,0.0,0.0,9.0,0.0,0.0,0.0
Venezuela,177984.5,837.0,1368.0,4260.0,4830.0,4907.0,4923.0,5395.0,5496.0,5080.0,5190.0,4924.0,4889.0,5410.0,6589.0,7092.0,5635.0,3843.0,2801.0,1534.0,743.0,2455.0,4013.0,3567.0,2158.0,4019.0,3998.0,3969.0,3841.0,3734.0,2772.0,1548.0,858.0,354.0,7.0,0.0,0.0,0.0,0.0,0.0,590.0,52.0,0.0,0.0,0.0,1588.0,5045.0,5045.0,3824.0,3449.0,1954.0,1913.0,1178.0,120.0,0.0,0.0,0.0,0.0,1389.0,1464.0,25.0,0.0,0.0,1516.0,5305.0,4339.0,3578.0,5743.0,5344.0,1380.0,96.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0
